"term","estimate","std.error","statistic","p.value","microbe"
"HPV.prevY",0.3845688044127,0.862223282512258,0.446019972103029,0.65558281919754,"c__Acidimicrobiia"
"HPV.prevY",0.436822485880536,0.857305503413582,0.509529548266301,0.610381092168637,"c__Acidithiobacillia"
"HPV.prevY",0.368244342259189,0.848399768567739,0.434045783488197,0.664255194728176,"c__Acidobacteriia"
"HPV.prevY",0.527156780071044,0.859094342039841,0.613619196722165,0.539466995125621,"c__Aconoidasida"
"HPV.prevY",0.125303774026548,0.905783806260514,0.138337397026184,0.889973771075965,"c__Actinobacteria"
"HPV.prevY",0.340107367860307,0.854905471835646,0.39783037898919,0.690755222410208,"c__Alphaproteobacteria"
"HPV.prevY",0.376023789153358,0.853895779374052,0.440362627660488,0.659674488028383,"c__Anaerolineae"
"HPV.prevY",0.253463450924669,0.895859908465029,0.282927552097911,0.777232373594488,"c__Aquificae"
"HPV.prevY",0.303176541213813,0.859395542174174,0.352778815266845,0.724254266930206,"c__Archaeoglobi"
"HPV.prevY",0.584160961628177,0.926887449255843,0.630239369512634,0.528537984718419,"c__Ardenticatenia"
"HPV.prevY",0.517991895799265,0.886507800321037,0.58430607786156,0.559014403768881,"c__Bacillariophyceae"
"HPV.prevY",0.237114894829106,0.995478055750238,0.238191985709224,0.811732192744138,"c__Bacilli"
"HPV.prevY",-0.807742364632699,1.04569322642424,-0.772446779056592,0.439849856840268,"c__Bacteroidia"
"HPV.prevY",0.424141021901769,0.86400570195587,0.490900720842039,0.623496667200856,"c__Bangiophyceae"
"HPV.prevY",0.318613215345941,0.871332221518844,0.365662152135906,0.71461719128023,"c__Betaproteobacteria"
"HPV.prevY",0.867197853102925,0.930391486467236,0.932078448391374,0.351295984948467,"c__Blastocatellia"
"HPV.prevY",0.278172196995136,0.859118434670636,0.32378795026297,0.746098579483083,"c__Bryopsida"
"HPV.prevY",0.567231771506039,0.86314400469846,0.657169334917876,0.511072040744431,"c__Caldilineae"
"HPV.prevY",0.32850406697204,0.846561673280019,0.388045050160663,0.697982695384106,"c__Caldisericia"
"HPV.prevY",0.891394318783625,0.99824567407249,0.89296086317815,0.371878131608335,"c__Candidatus"
"HPV.prevY",0.453815536805209,0.890709950190747,0.509498672051462,0.610402728901683,"c__Chitinophagia"
"HPV.prevY",0.36450444065448,0.857396275730574,0.425129489096382,0.670742281892296,"c__Chlamydiia"
"HPV.prevY",0.444136643022913,0.848290748705876,0.523566529165234,0.600580066603486,"c__Chlorarachniophyceae"
"HPV.prevY",0.562866788858325,0.924329507139748,0.608946035489081,0.542560208957043,"c__Chlorobia"
"HPV.prevY",0.664558785732474,0.903213023406895,0.735771925902681,0.46186950904433,"c__Chloroflexia"
"HPV.prevY",0.388294828207801,0.853027996787948,0.455195878294632,0.648968325494749,"c__Chrysiogenetes"
"HPV.prevY",0.415515443961665,0.851024335498562,0.488253304434873,0.625370432290175,"c__Chthonomonadetes"
"HPV.prevY",0.34942427506193,0.847204355176312,0.412443907927281,0.680014085978554,"c__Clostridia"
"HPV.prevY",0.378644211391937,0.855086560075044,0.442813896360043,0.657900351083724,"c__Conoidasida"
"HPV.prevY",0.471959196593821,0.872603060730763,0.540863558510301,0.588601630301336,"c__Coprothermobacteria"
"HPV.prevY",0.828282215991103,0.944240869302403,0.877193778535587,0.380381394742209,"c__Coriobacteriia"
"HPV.prevY",0.463306938667469,0.867983606130504,0.53377383558303,0.593498017990672,"c__Coscinodiscophyceae"
