"category","NCBI Entrez ID","genes","pathname","pval","padj","desc","log2err","size","ES","NES"
"H",1031,"CDKN2C","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",4171,"MCM2","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",3978,"LIG1","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",6118,"RPA2","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",55723,"ASF1B","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",8914,"TIMELESS","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",4001,"LMNB1","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",4175,"MCM6","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",7112,"TMPO","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",4174,"MCM5","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",6941,"TCF19","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",79733,"E2F8","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",7398,"USP1","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",29980,"DONSON","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",3148,"HMGB2","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",23468,"CBX5","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",3070,"HELLS","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
"H",580,"BARD1","HALLMARK_E2F_TARGETS",5.17726994149005e-48,2.58863497074503e-46,"Genes encoding cell cycle related targets of E2F transcription factors.",1.80882719736365,155,0.675660931740537,5.08786789844335
