Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GBX1	19.4487391852386	6.74284838399311	0.335921694314397	20.0726791336148	1.2791960130641e-89	2.7777741423687e-85
STAG3	467.923721550188	3.50000571756008	0.178367854461821	19.6224018510536	9.95372732416038e-86	1.08072594422071e-81
TAF7L	77.2513327956441	4.36423362338942	0.22427666750207	19.4591513776133	2.43788079327996e-84	1.76461938086915e-80
LOC375196	33.1440417137372	4.0432852328415	0.210005650630748	19.2532211428482	1.32652927734448e-82	7.20139581438386e-79
SMC1B	176.046744970161	4.28870599170541	0.223270704149946	19.2085477941842	3.13925207091519e-82	1.36337717439847e-78
UPB1	55.4645665004224	3.8238043289176	0.204516492694837	18.6968018008365	5.2564408316057e-78	1.9023935443053e-74
TDRD10	59.449268306409	3.33741437044703	0.183221897774693	18.215150104771	3.9134276541505e-74	1.21400116442683e-70
TDRD9	107.37703754185	3.70792992801421	0.20432569497826	18.1471543674853	1.35227316099096e-73	3.67057646136484e-70
NEFH	412.190330268273	4.16293741936579	0.230918547511146	18.0277308351113	1.18037362812969e-72	2.77464191075801e-69
RAD9B	36.7633480121408	1.95742836026912	0.108605156359257	18.0233464587455	1.27775358542851e-72	2.77464191075801e-69
SYCE2	48.8962574077828	2.51091714723431	0.145489781524256	17.2583745808684	9.67975052574052e-67	1.91087075151323e-63
MEI1	398.987358117641	2.91138958005797	0.169043769981856	17.2226967037618	1.79429550888365e-66	3.24692724795071e-63
C8G	85.280181741936	3.12882071555575	0.182828974839589	17.1133744982212	1.17962925341845e-65	1.97043455676782e-62
SYCP2	456.760776357311	3.39477359225267	0.199322496605444	17.0315626688772	4.79076349963902e-65	7.43081638533294e-62
ZFR2	102.328482457203	4.63344558858577	0.277860809592757	16.6754195936329	1.97817538594638e-62	2.71820657444355e-59
ABCA17P	78.1449231608371	3.78670868155824	0.227093339361055	16.674679637071	2.00282317251194e-62	2.71820657444355e-59
KEL	87.9524132397365	3.99876321411143	0.239881202036668	16.6697647842376	2.17448531340263e-62	2.77758521061988e-59
CDKN2C	1239.09466729838	1.86969785359958	0.115297736881914	16.2162580477576	3.87069860934479e-59	4.66956779455123e-56
C19orf57	289.726925297238	1.81809236679569	0.113585684576343	16.0063512719661	1.15380716355082e-57	1.31868013455295e-54
PAX1	508.16210283365	4.51550087989968	0.286512129635469	15.7602433294701	5.84076723826643e-56	6.34161302894778e-53
GRIN2C	64.2276286507629	2.19256768924405	0.13937840238446	15.7310433448368	9.26713733150827e-56	9.58266129303343e-53
ZNF541	145.460262011879	3.63623013040619	0.234862970570466	15.482347521936	4.56505965314541e-54	4.50592138036603e-51
SHCBP1L	14.6955229483641	5.47003076129207	0.355376686052865	15.3922048799745	1.84632031869294e-53	1.74316720523553e-50
RORB	179.539910050191	3.43699672688512	0.223844246565034	15.3544117377462	3.30897427367901e-53	2.99393234803915e-50
INSM1	39.8414661130348	3.85417857244606	0.252226149499333	15.2806462775433	1.02915008254257e-52	8.93919761696478e-50
MIR9-3HG	490.023847274835	2.77087268525044	0.183941176531036	15.0639065026472	2.79756097469438e-51	2.33650140636494e-48
ADORA2A-AS1	22.5173827018105	2.8958940608692	0.194403633423356	14.8962959687217	3.48363765288378e-50	2.80174783823597e-47
XKR4	48.6319715334939	3.89139665031294	0.270988730488285	14.3599943927601	9.22346111456026e-47	7.153123503667e-44
RIBC2	187.7671306621	1.95290049150054	0.138643862198105	14.0857334795686	4.64807608304179e-45	3.48044731528457e-42
SOX30	63.05636786288	2.76511142758715	0.196387212200767	14.0798955115283	5.04843793725335e-45	3.65422766024855e-42
CD8B2	59.9131988403191	4.81186219810102	0.343732815491041	13.9988443967068	1.58425833136621e-44	1.1097474085683e-41
ARHGEF33	30.3235500497596	2.34566189124407	0.167818998073272	13.9773322339817	2.14374212756011e-44	1.45473000937399e-41
PRDM15	664.150911912971	0.767440835656418	0.0561399319541834	13.6701418926325	1.53096365100053e-42	1.00742047519626e-39
BTNL9	331.844299701142	2.81335796348277	0.211356760352045	13.310943822174	1.99939907325219e-40	1.2769691434021e-37
SIM2	527.533391384301	2.30021834723412	0.173652179284064	13.2461242739222	4.75113209165727e-40	2.94773809629536e-37
GPR137C	59.059433030978	1.495502208964	0.113097858833593	13.2230815365338	6.45636306466223e-40	3.89444233192057e-37
IL17RB	170.391324689057	1.83983187891944	0.140020807852774	13.1397033564751	1.94989641504219e-39	1.14437839601733e-36
MEIOC	27.2411103294769	1.564539759845	0.119331426318423	13.1108778979159	2.85276917462958e-39	1.63020743755477e-36
GCK	51.0278464960197	2.37126760270295	0.181640078773231	13.0547598234824	5.96980045325296e-39	3.32395427800995e-36
MCM2	7102.5927732794	1.06737448971968	0.0818832407067036	13.0353229856021	7.70400881035218e-39	4.18231378291994e-36
FOXRED2	2236.75610453517	1.27894460348042	0.0982186224705655	13.0214064431997	9.24521897301553e-39	4.89658365851298e-36
HMSD	69.9398570144009	2.28614765849672	0.175621969163205	13.0174355144156	9.73869618810806e-39	4.94092552982428e-36
TMSB15A	71.604327983412	2.63311846399458	0.202281792084005	13.0170809585327	9.78401095014709e-39	4.94092552982428e-36
COLCA1	447.715075352914	3.23737575058229	0.250281175368527	12.9349550393289	2.85790222076522e-38	1.41043969827083e-35
TCAM1P	100.65237477591	3.35801551868021	0.260280311844588	12.9015348678592	4.41220589107049e-38	2.12913446499101e-35
DDX25	17.3398328078065	3.34492566467869	0.259684582740071	12.88072487548	5.77902221109872e-38	2.72807537639149e-35
ZNF620	58.5329724004768	1.46228571674906	0.113981750110997	12.8291214630857	1.12634111645351e-37	5.20393560506129e-35
GPAT2	166.810744067084	2.40576096657019	0.189005161413283	12.7285463983161	4.10408734496306e-37	1.85667201449735e-34
LIG1	2700.02906579921	0.830078243341213	0.0653524382370342	12.701565017827	5.79589365291684e-37	2.56852715659366e-34
TMPO-AS1	216.966755177927	1.24237355975274	0.0979559846598891	12.6829776053639	7.34862325484149e-37	3.19150707957766e-34
SYNGR3	256.2700278757	2.07424216572761	0.166260483455383	12.4758578985141	1.01111290898409e-35	4.27367663451353e-33
PARM1	1424.11765497002	2.16634038487053	0.173655989856518	12.4748958366507	1.02339942433665e-35	4.27367663451353e-33
RPA2	2596.34912194572	0.757468460364894	0.060793361390679	12.459723282895	1.23799432272041e-35	5.07227296563654e-33
CLGN	131.63519400458	2.97003259841744	0.240188660893678	12.365415533634	4.02126406581476e-35	1.61706942942903e-32
ASF1B	1980.36259321261	0.97358167293082	0.0791676475011254	12.2977214008662	9.31653435506081e-35	3.67833715491173e-32
WDR76	953.664154826691	1.00132745087932	0.0816520476617357	12.2633476998344	1.42489216144725e-34	5.52527380104055e-32
TCP11	74.797331567176	3.15210057769107	0.258154623845101	12.2101263604808	2.74462578727168e-34	1.04560612229131e-31
NOS2	415.955138908788	2.98201410193955	0.244345094657613	12.2041087262999	2.95526777591906e-34	1.10644206472556e-31
TIMELESS	3439.98478338381	0.747464594377234	0.0613841696567638	12.176829931182	4.13025498884799e-34	1.52014384886159e-31
ABCA3	1040.99345782007	2.39172896706765	0.197277329235723	12.1236889019813	7.91162151764011e-34	2.86334768759258e-31
DRGX	12.3892774492209	3.56711298657116	0.29441568246931	12.1159068588101	8.69965336247451e-34	3.09693397977269e-31
CRB2	75.3001870273593	3.07039986453916	0.255766907768504	12.0046799303614	3.35760341119954e-33	1.17597351732577e-30
CNTD1	49.5031146942273	1.46052813676993	0.122264057674645	11.9456867745753	6.8383137564014e-33	2.35704735270248e-30
CCDC155	22.0770266324764	3.69459094928069	0.309413995830681	11.9406070800445	7.26906934818952e-33	2.46637251399899e-30
MAJIN	16.6299083401946	3.41774357022256	0.287290612262626	11.8964679816904	1.23462796875993e-32	4.11404126744576e-30
LINC01305	64.1118011517535	3.05286361558773	0.25664220395522	11.895407569522	1.25041088487875e-32	4.11404126744576e-30
IL17REL	96.2727960605767	3.54724511898171	0.29859011316187	11.8799818300035	1.50400050746329e-32	4.87453298799482e-30
FAM81A	105.88026189532	1.54925294075605	0.130556768353798	11.8665080354754	1.76689800959061e-32	5.64238092327355e-30
DHFR	802.352922816215	1.00706916509604	0.0851443570356782	11.8277851892645	2.80444105234204e-32	8.82586050023296e-30
CTSE	40.8905714029741	2.99888833231628	0.254021163239269	11.8056633316475	3.64901884480865e-32	1.13197777450028e-29
CCNI2	57.189971224537	2.13989201202915	0.181287073279882	11.8038863627384	3.72692494689299e-32	1.13986162284199e-29
CPEB1	61.7873969173679	2.06353828150305	0.175789665503899	11.7386780137953	8.07386069031645e-32	2.43505395680863e-29
WNK3	74.5920345604882	2.09624385406462	0.181536621478927	11.5472230175219	7.62443179616949e-31	2.26800734868247e-28
COL4A4	237.968172603934	2.16116470401144	0.188135571845202	11.4872731552843	1.52861133868041e-30	4.48564800262772e-28
LMNB1	3407.90463515875	0.879611003616024	0.0766383845081478	11.4774209981228	1.71314535179829e-30	4.96012684190664e-28
XRCC1	2008.99027632463	0.567709635468827	0.0495721235718647	11.4521951968795	2.29264929836716e-30	6.55064204132143e-28
RAD18	764.347877760184	0.719065158146068	0.0630910264451017	11.3972651684746	4.31460510759419e-30	1.21677467417413e-27
FRMD1	18.9947889391432	3.29666037053631	0.289723598312958	11.3786394678671	5.34267067306113e-30	1.48738581622465e-27
ACBD7	29.1946234797568	2.07752313738086	0.183353103456717	11.3307225141749	9.24390430934046e-30	2.54090357059909e-27
SYT10	6.38762568835123	3.78011560310818	0.334159917529274	11.3122951162359	1.1406615279801e-29	3.09618313501098e-27
RAB42	179.446160135502	1.54814590540887	0.137663871450583	11.2458402418576	2.42773837972514e-29	6.50843690317672e-27
FAM111B	1175.76739797892	1.10242412876217	0.0980685687693473	11.2413604337901	2.55415552826113e-29	6.76383991416957e-27
GRIN2A	140.365287726908	2.95766223204485	0.263725139610913	11.2149423312789	3.44410827926915e-29	9.01070015473851e-27
KLHL35	150.846236966874	2.06067722151843	0.184050862417734	11.196237792363	4.25418859863311e-29	1.09975839784902e-26
INPP5F	1398.39195032673	0.76228432230759	0.068131622619865	11.1884069833577	4.64707457964412e-29	1.18719087643496e-26
TCIM	1125.46163594335	1.88639226542419	0.168704210461112	11.1816549229459	5.01460315615352e-29	1.26618729692876e-26
MCM6	3948.19802566754	0.712967333496486	0.0638953529351787	11.1583597357978	6.51830939363412e-29	1.62695504003178e-26
LGI2	229.679424523912	2.10814938874338	0.1890150881542	11.1533391822325	6.89686297316833e-29	1.70187931207216e-26
TMPO	5738.87582623034	0.773305183100925	0.0693877061478054	11.1447002074644	7.5999801599979e-29	1.85430976600398e-26
YPEL1	61.695556478242	1.51538566489256	0.136005601890122	11.1420827071287	7.82672939463419e-29	1.88841587560535e-26
NUSAP1	3144.13448123236	0.846539280860775	0.0766303695900748	11.0470468221573	2.26545041313578e-28	5.40596216716961e-26
E2F1	1404.63117613628	1.13961660086825	0.103267988125203	11.0355263190232	2.57539191063633e-28	6.07876471081172e-26
