Taxonomy	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	tax_class
s__Burkholderia pseudomallei	35.7138783851126	-2.41730914277842	0.359158485443204	-6.7304803888886	1.69103841262163e-11	2.71918976749558e-08	species
c__unclassified-f__Papillomaviridae	9366.95073775247	-3.09726660592928	0.470900512210808	-6.57732689945074	4.78980960213557e-11	1.06812754127623e-08	class
k__unclassified-f__Papillomaviridae	9265.86249650496	-3.09543964736862	0.471008566734618	-6.57193916626297	4.96641550637595e-11	4.51943811080212e-09	kingdom
p__unclassified-f__Papillomaviridae	9272.62271954591	-3.09393616712736	0.471112044590652	-6.56730432314816	5.12342712749332e-11	4.81602149984372e-09	phlyum
f__Papillomaviridae	9444.71342802395	-3.09959873650685	0.471995953658663	-6.56700277296955	5.1338091231726e-11	2.47449599736919e-08	family
o__unclassified-f__Papillomaviridae	9383.76344864363	-3.09227911409288	0.472034386722405	-6.55096154236619	5.71677811688477e-11	2.06947367831229e-08	order
g__Alphapapillomavirus	9369.82539159335	-3.09743505082165	0.473745116256009	-6.53818887949826	6.22682560257081e-11	6.19569147455796e-08	genus
s__Alphapapillomavirus 9	9334.34999593426	-3.10144438143984	0.481071254427297	-6.44695427734926	1.14120196536739e-10	9.17526380155378e-08	species
s__Shigella sonnei	3.4566850687962	-2.47103980164774	0.39387727074744	-6.27362883102795	3.5272880599595e-10	1.51082588476781e-07	species
s__Citrobacter farmeri	1.84196135979234	1.35335432643389	0.216061349980072	6.2637502105708	3.75827334519356e-10	1.51082588476781e-07	species
c__Vicinamibacteria	1.61779845346754	0.996404226006798	0.160639817331758	6.20272260363069	5.54946070863743e-10	6.18764869013073e-08	class
g__Luteitalea	1.62030718908356	0.998385905578199	0.161117303232057	6.19663987387018	5.76812707517568e-10	2.8696432198999e-07	genus
s__Luteitalea pratensis	1.61365259914064	0.99919823593277	0.16128308898068	6.19530691188872	5.81715660286429e-10	1.87079756348116e-07	species
f__Vicinamibacteraceae	1.63551431421496	0.996377788711922	0.160863296750458	6.19394112168154	5.86781536932699e-10	1.4141435040078e-07	family
o__unclassified-f__Vicinamibacteraceae	1.62560948829603	0.996704551843018	0.160981561037476	6.19142059139921	5.96243743275186e-10	1.07920117532809e-07	order
s__Escherichia fergusonii	2.72027781805324	-1.62638840638024	0.277541956637288	-5.85997312293117	4.62942092068642e-09	1.15790536901559e-06	species
s__Mycobacteroides chelonae	2.62572653182688	-1.84262459296403	0.315203507474312	-5.84582515508398	5.0406328253166e-09	1.15790536901559e-06	species
s__Klebsiella quasipneumoniae	7.97574745187038	-1.75103316885176	0.307868027636447	-5.68760966279845	1.28829873824225e-08	2.58948046386693e-06	species
g__Dermacoccus	2.23940677798875	-1.61288455540081	0.302210054374976	-5.33696524007628	9.45151505002303e-08	3.13475249159097e-05	genus
s__Dermacoccus nishinomiyaensis	2.22800115345525	-1.61203264278148	0.302385529411219	-5.33105088037879	9.7646053505235e-08	1.74460948929353e-05	species
s__Kocuria rosea	4.15138644068094	-1.31951534232816	0.252339028862138	-5.22913696021655	1.70303170051037e-07	2.73847497442067e-05	species
s__Corynebacterium diphtheriae	3.35593369190854	-1.30972032427904	0.263755592368248	-4.96565897435247	6.84681789306579e-07	0.000100088028836816	species
s__Streptococcus thermophilus	5.73104175608053	-1.35988230037796	0.276149346936088	-4.92444510720747	8.4600072236854e-07	0.000104495437973924	species
s__Campylobacter ureolyticus	2.49584173726833	-1.42927541148382	0.290935929843889	-4.91268098873436	8.98393869379512e-07	0.000104495437973924	species
s__Burkholderia thailandensis	3.69906085676653	-1.67364818290567	0.340850588097999	-4.91021063582403	9.09786151514264e-07	0.000104495437973924	species
g__Moraxella	14.3032675005082	-0.744869211821821	0.15392258114141	-4.83924584877839	1.30332741925812e-06	0.000324202695540458	genus
f__Burkholderiaceae	459.965148319941	-0.704760383883677	0.147947464011146	-4.76358542942366	1.90183038480796e-06	0.000305560748492479	family
s__Enterobacter kobei	3.93809714139595	-1.45563223466232	0.308303430536133	-4.72142730339071	2.34195338031761e-06	0.000251057402370048	species
s__Pandoraea faecigallinarum	2.69359114647864	-1.21970709564477	0.259582259602199	-4.69873055852866	2.61783548488327e-06	0.000263092466230769	species
s__Cutibacterium granulosum	22.250218044466	-1.24623353047767	0.268627877107761	-4.63925614830266	3.49665447621287e-06	0.000330742376338252	species
s__Moraxella osloensis	7.99272021068339	-1.12492210456223	0.246473151302717	-4.56407563508048	5.01699905345479e-06	0.000436629075241174	species
s__Thermoanaerobacter kivui	2.51087500457988	1.04655985814149	0.229598931032298	4.55820875748879	5.15917439650641e-06	0.000436629075241174	species
